job_role,skills,domain,required_skills,demand_level_india,experience_alignment
AI Engineer,"automation, teamwork, communication, design",Transport,"networking, machine learning, programming, python, documentation, automation",Medium,Beginner
Lead AR/VR Developer,"cloud computing, python, design, automation",Misc,"data analysis, cloud computing, teamwork, python, project planning, automation",High,Beginner
Assistant Occupational Therapist,"analytics, security, project planning, design",Creative,"python, customer service, documentation, research, security, teamwork",Medium,Advanced
Assistant Pharmacy Technician,"automation, analytics, research, documentation",Construction,"machine learning, security, data analysis, research, networking, management",Medium,Beginner
Lead Orthopedic Surgeon,"programming, security, project planning, problem solving",Agriculture,"programming, machine learning, analytics, problem solving, design, research",Medium,Intermediate
Assistant Epidemiologist,"communication, machine learning, analytics, networking",Transport,"python, documentation, analytics, customer service, automation, management",Medium,Beginner
Systems Analyst,"project planning, networking, problem solving, customer service",Transport,"programming, data analysis, problem solving, networking, cloud computing, communication",High,Beginner
Medical Laboratory Technician,"design, machine learning, security, documentation",Healthcare,"research, customer service, documentation, teamwork, machine learning, data analysis",Medium,Beginner
Assistant DevOps Engineer,"research, teamwork, networking, customer service",Engineering,"communication, project planning, programming, research, data analysis, python",Medium,Intermediate
Assistant Game Developer,"problem solving, security, python, documentation",Transport,"security, documentation, design, analytics, automation, customer service",High,Intermediate
Assistant Web Developer,"networking, teamwork, documentation, analytics",Government,"communication, security, automation, design, customer service, networking",High,Beginner
Veterinarian,"problem solving, machine learning, project planning, management",Government,"communication, analytics, automation, design, cloud computing, security",Medium,Beginner
Principal Software Developer,"research, programming, data analysis, python",Education,"security, project planning, programming, python, cloud computing, problem solving",Medium,Intermediate
DevOps Engineer,"documentation, problem solving, design, data analysis",Healthcare,"programming, analytics, networking, teamwork, cloud computing, automation",High,Intermediate
Principal Audiologist,"research, problem solving, machine learning, customer service",Misc,"machine learning, research, documentation, automation, cloud computing, project planning",Medium,Beginner
Senior Software Developer,"research, machine learning, data analysis, teamwork",Hospitality,"teamwork, machine learning, programming, project planning, documentation, automation",High,Beginner
Senior UX Designer,"documentation, communication, python, machine learning",Misc,"automation, security, communication, customer service, management, teamwork",High,Intermediate
Senior AR/VR Developer,"security, programming, automation, networking",Construction,"teamwork, customer service, data analysis, management, networking, analytics",Medium,Beginner
Assistant Robotics Engineer,"machine learning, networking, problem solving, data analysis",Healthcare,"cloud computing, programming, automation, project planning, research, management",High,Intermediate
Assistant Network Engineer,"data analysis, automation, design, programming",Hospitality,"project planning, communication, documentation, management, programming, security",High,Intermediate
Junior Endocrinologist,"project planning, customer service, management, machine learning",Education,"automation, research, programming, analytics, cloud computing, data analysis",High,Intermediate
Orthopedic Surgeon,"management, security, cloud computing, communication",Engineering,"customer service, security, problem solving, teamwork, networking, design",High,Advanced
Principal Pharmacy Technician,"documentation, programming, design, customer service",Engineering,"documentation, programming, machine learning, teamwork, data analysis, automation",Medium,Advanced
Senior Software Architect,"project planning, cloud computing, python, design",IT,"documentation, project planning, data analysis, teamwork, security, customer service",Medium,Beginner
Principal Medical Assistant,"python, project planning, data analysis, security",Construction,"customer service, networking, python, automation, communication, documentation",Medium,Beginner
Occupational Therapist,"documentation, python, problem solving, design",Engineering,"machine learning, cloud computing, project planning, security, teamwork, networking",Medium,Beginner
Principal DevOps Engineer,"data analysis, networking, research, security",Healthcare,"cloud computing, python, communication, programming, security, automation",Medium,Advanced
Principal Systems Analyst,"research, communication, programming, teamwork",Education,"teamwork, security, design, cloud computing, automation, project planning",Medium,Beginner
Assistant UX Designer,"machine learning, communication, teamwork, automation",Hospitality,"teamwork, research, networking, communication, analytics, documentation",Medium,Advanced
Lead Frontend Developer,"management, communication, project planning, python",Hospitality,"python, customer service, problem solving, design, research, security",High,Advanced
Lead Gastroenterologist,"cloud computing, communication, programming, teamwork",IT,"networking, customer service, machine learning, analytics, documentation, data analysis",High,Intermediate
Lead Computer Programmer,"security, machine learning, communication, teamwork",Engineering,"analytics, design, networking, communication, project planning, machine learning",High,Intermediate
Senior Midwife,"machine learning, design, documentation, networking",Healthcare,"networking, management, security, python, design, customer service",Medium,Intermediate
Senior Endocrinologist,"analytics, research, programming, networking",Hospitality,"research, management, teamwork, cloud computing, problem solving, machine learning",Medium,Intermediate
Lead IT Consultant,"problem solving, management, security, documentation",Agriculture,"programming, documentation, networking, project planning, problem solving, research",High,Intermediate
Senior Microbiologist,"python, teamwork, customer service, documentation",Business,"research, networking, customer service, analytics, project planning, design",High,Advanced
Assistant Data Analyst,"python, cloud computing, customer service, automation",Misc,"automation, design, programming, research, documentation, machine learning",Medium,Beginner
Principal Clinical Psychologist,"cloud computing, python, management, automation",Engineering,"python, management, research, teamwork, automation, cloud computing",High,Intermediate
Lead Web Developer,"data analysis, security, project planning, communication",Education,"security, python, research, documentation, project planning, networking",High,Beginner
Junior Computer Hardware Engineer,"project planning, design, security, networking",Government,"machine learning, analytics, documentation, networking, python, teamwork",High,Advanced
Journalist,"writing, editing, journalism, research, storytelling, communication",Creative,"writing, editing, SEO, research, communication",High,Intermediate
Content Writer,"writing, editing, SEO, blogging, content creation",Creative,"SEO, writing, research, communication",High,Beginner
Copywriter,"copywriting, marketing, SEO, storytelling",Creative,"writing, SEO, marketing, communication",Medium,Intermediate
Editor,"editing, proofreading, writing, grammar",Creative,"editing, writing, communication",Medium,Intermediate
Social Media Manager,"social media, content creation, marketing, SEO",Creative,"marketing, SEO, analytics, communication",High,Intermediate
